district,260,2011,Computer ,2015,35
district,384,2011,Playground ,2015,895
district,384,2011,Boundarywall ,2015,1001
district,384,2011,Girls Toilet ,2015,979
district,384,2011,Boys Toilet ,2015,1676
district,384,2011,Drinking Water ,2015,1664
district,384,2011,Electricity ,2015,294
district,384,2011,Computer ,2015,168
district,461,2011,Playground ,2015,895
district,461,2011,Boundarywall ,2015,1001
district,461,2011,Girls Toilet ,2015,979
district,461,2011,Boys Toilet ,2015,1676
district,461,2011,Drinking Water ,2015,1664
district,461,2011,Electricity ,2015,294
district,461,2011,Computer ,2015,168
district,209,2011,Playground ,2015,754
district,209,2011,Boundarywall ,2015,1175
district,209,2011,Girls Toilet ,2015,1370
district,209,2011,Boys Toilet ,2015,1528
district,209,2011,Drinking Water ,2015,1943
district,209,2011,Electricity ,2015,503
district,209,2011,Computer ,2015,143
district,616,2011,Playground ,2015,136
district,616,2011,Boundarywall ,2015,320
district,616,2011,Girls Toilet ,2015,456
district,616,2011,Boys Toilet ,2015,488
district,616,2011,Drinking Water ,2015,547
district,616,2011,Electricity ,2015,137
district,616,2011,Computer ,2015,44
district,240,2011,Playground ,2015,136
district,240,2011,Boundarywall ,2015,320
district,240,2011,Girls Toilet ,2015,456
district,240,2011,Boys Toilet ,2015,488
district,240,2011,Drinking Water ,2015,547
district,240,2011,Electricity ,2015,137
district,240,2011,Computer ,2015,44
district,459,2011,Playground ,2015,1105
district,459,2011,Boundarywall ,2015,483
district,459,2011,Girls Toilet ,2015,1396
district,459,2011,Boys Toilet ,2015,1652
district,459,2011,Drinking Water ,2015,1698
district,459,2011,Electricity ,2015,321
district,459,2011,Computer ,2015,222
district,162,2011,Playground ,2015,1618
district,162,2011,Boundarywall ,2015,1890
district,162,2011,Girls Toilet ,2015,2399
district,162,2011,Boys Toilet ,2015,2453
district,162,2011,Drinking Water ,2015,2477
district,162,2011,Electricity ,2015,1202
district,162,2011,Computer ,2015,176
district,235,2011,Playground ,2015,2836
